PrecursorMz	ProductMz	PrecursorCharge	ProductCharge	LibraryIntensity	NormalizedRetentionTime	PeptideSequence	ModifiedPeptideSequence	PeptideGroupLabel	LabelType	CompoundName	SumFormula	SMILES	Adducts	ProteinId	UniprotId	GeneName	FragmentType	FragmentSeriesNumber	Annotation	CollisionEnergy	PrecursorIonMobility	TransitionGroupId	TransitionId	Decoy	DetectingTransition	IdentifyingTransition	QuantifyingTransition	Peptidoforms
190.043344999999988	109.010648000000003	1	NA	0.467892438173294	289.780000000019982					Tricyclazol	C9H7N3S	NA	M+H+					-1	C6H4S	-1.0	-1.0	0_Tricyclazol_1	0_0_Tricyclazol_1	0	1	0	1	
190.043344999999988	136.021546999999998	1	NA	0.176757603883743	289.780000000019982					Tricyclazol	C9H7N3S	NA	M+H+					-1	C7H5NS	-1.0	-1.0	0_Tricyclazol_1	0_1_Tricyclazol_1	0	1	0	1	
190.043344999999988	121.010648000000003	1	NA	0.137347415089607	289.780000000019982					Tricyclazol	C9H7N3S	NA	M+H+					-1	C7H4S	-1.0	-1.0	0_Tricyclazol_1	0_2_Tricyclazol_1	0	1	0	1	
304.113077999999973	107.049141000000006	1	NA	0.519807040691376	448.718999999999994					Fenamiphos	C13H22NO3PS	NA	M+H+					-1	C7H6O	-1.0	-1.0	10_Fenamiphos_0	10_0_Fenamiphos_0	0	1	0	1	
304.113077999999973	108.056966000000003	1	NA	0.341906994581223	448.718999999999994					Fenamiphos	C13H22NO3PS	NA	M+H+					-1	C7H7O	-1.0	-1.0	10_Fenamiphos_0	10_1_Fenamiphos_0	0	1	0	1	
304.113077999999973	109.064791	1	NA	0.121141478419304	448.718999999999994					Fenamiphos	C13H22NO3PS	NA	M+H+					-1	C7H8O	-1.0	-1.0	10_Fenamiphos_0	10_2_Fenamiphos_0	0	1	0	1	
316.107606999999973	165.069876999999991	1	NA	1.0	466.776000000000011					Flusilazole	C16H15F2N3Si	NA	M+H+					-1	C13H8	-1.0	-1.0	10_Flusilazole_1	10_0_Flusilazole_1	0	1	0	1	
316.107606999999973	164.062051999999994	1	NA	0.31736820936203	466.776000000000011					Flusilazole	C16H15F2N3Si	NA	M+H+					-1	C13H7	-1.0	-1.0	10_Flusilazole_1	10_1_Flusilazole_1	0	1	0	1	
316.107606999999973	183.06045499999999	1	NA	0.316263973712921	466.776000000000011					Flusilazole	C16H15F2N3Si	NA	M+H+					-1	C13H7F	-1.0	-1.0	10_Flusilazole_1	10_2_Flusilazole_1	0	1	0	1	
293.077574000000027	119.010836999999995	1	NA	1.0	361.441999999979942					Nitenpyram	C11H15ClN4O2	NA	M+Na+					-1	C2H7ClNO	-1.0	-1.0	10_Nitenpyram_6	10_0_Nitenpyram_6	0	1	0	1	
293.077574000000027	107.021583000000007	1	NA	0.255319148302078	361.441999999979942					Nitenpyram	C11H15ClN4O2	NA	M+Na+					-1	C3H4N2O	-1.0	-1.0	10_Nitenpyram_6	10_1_Nitenpyram_6	0	1	0	1	
293.077574000000027	109.037233999999998	1	NA	0.170212760567665	361.441999999979942					Nitenpyram	C11H15ClN4O2	NA	M+Na+					-1	C3H6N2O	-1.0	-1.0	10_Nitenpyram_6	10_2_Nitenpyram_6	0	1	0	1	
374.196198999999979	216.101904999999988	1	NA	1.0	438.151000000020019					Spirotetramat	C21H27NO5	NA	M+H+					-1	C13H13NO2	-1.0	-1.0	10_Spirotetramat_5	10_0_Spirotetramat_5	0	1	0	1	
374.196198999999979	145.101177000000007	1	NA	0.548302888870239	438.151000000020019					Spirotetramat	C21H27NO5	NA	M+H+					-1	C11H12	-1.0	-1.0	10_Spirotetramat_5	10_1_Spirotetramat_5	0	1	0	1	
374.196198999999979	130.077701999999988	1	NA	0.420208871364594	438.151000000020019					Spirotetramat	C21H27NO5	NA	M+H+					-1	C10H9	-1.0	-1.0	10_Spirotetramat_5	10_2_Spirotetramat_5	0	1	0	1	
321.217268999999988	119.085526999999999	1	NA	0.523685932159424	443.323000000019988					Iprovalicarb	C18H28N2O3	NA	M+H+					-1	C9H10	-1.0	-1.0	11_Iprovalicarb_4	11_0_Iprovalicarb_4	0	1	0	1	
321.217268999999988	117.069877000000005	1	NA	0.376041889190674	443.323000000019988					Iprovalicarb	C18H28N2O3	NA	M+H+					-1	C9H8	-1.0	-1.0	11_Iprovalicarb_4	11_1_Iprovalicarb_4	0	1	0	1	
321.217268999999988	103.054226999999997	1	NA	0.205118075013161	443.323000000019988					Iprovalicarb	C18H28N2O3	NA	M+H+					-1	C8H6	-1.0	-1.0	11_Iprovalicarb_4	11_2_Iprovalicarb_4	0	1	0	1	
241.029407999999989	124.982062999999997	1	NA	0.234375	434.617999999979986					Methacrifos	C7H13O5PS	NA	M+H+					-1	C2H5O2PS	-1.0	-1.0	11_Methacrifos_7	11_0_Methacrifos_7	0	1	0	1	
