Peptide,Protein,Replicate,PrecursorMz,PrecursorCharge,ProductMz,ProductCharge,FragmentIon,RetentionTime,Area,Background,PeakRank
Acephate,molecules1,PestMix1_8Step10Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,#N/A,#N/A,#N/A,#N/A
Acephate,molecules1,PestMix1_8Step10Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,#N/A,#N/A,#N/A,#N/A
Acephate,molecules1,PestMix1_8Step10Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,#N/A,#N/A,#N/A,#N/A
Acephate,molecules1,PestMix1_8Step1Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.4020333290100098,96825.609375,2897.2822265625,1
Acephate,molecules1,PestMix1_8Step1Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.4294500350952148,94458.0703125,4495.234375,1
Acephate,molecules1,PestMix1_8Step1Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.4157333374023438,90980.0703125,2416.811767578125,1
Acephate,molecules1,PestMix1_8Step2Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.4294500350952148,27003.904296875,1724.162109375,1
Acephate,molecules1,PestMix1_8Step2Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883333206176758,25060.064453125,565.18402099609375,1
Acephate,molecules1,PestMix1_8Step2Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.4157500267028809,27642.3125,31.643276214599609,1
Acephate,molecules1,PestMix1_8Step3Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883500099182129,7888.90283203125,51.420322418212891,1
Acephate,molecules1,PestMix1_8Step3Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.3848834037780762,6696.099609375,0,1
Acephate,molecules1,PestMix1_8Step3Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.4157500267028809,10480.7138671875,0,1
Acephate,molecules1,PestMix1_8Step4Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.4157500267028809,3014.85546875,402.808349609375,1
Acephate,molecules1,PestMix1_8Step4Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.4259834289550781,2557.9130859375,0,1
Acephate,molecules1,PestMix1_8Step4Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883333206176758,2973.771728515625,0,1
Acephate,molecules1,PestMix1_8Step5Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.4294500350952148,870.08099365234375,19.073863983154297,1
Acephate,molecules1,PestMix1_8Step5Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.38836669921875,871.8369140625,0,1
Acephate,molecules1,PestMix1_8Step5Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.3746333122253418,1567.25634765625,0,1
Acephate,molecules1,PestMix1_8Step6Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.3472499847412109,287.59713745117188,0,1
Acephate,molecules1,PestMix1_8Step6Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.4157500267028809,204.01641845703125,0,1
Acephate,molecules1,PestMix1_8Step6Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883500099182129,449.43533325195313,0,1
Acephate,molecules1,PestMix1_8Step7Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883500099182129,616.69281005859375,0,1
Acephate,molecules1,PestMix1_8Step7Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883500099182129,229.94209289550781,0,1
Acephate,molecules1,PestMix1_8Step7Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,2.3883500099182129,319.16470336914063,0,1
Acephate,molecules1,PestMix1_8Step8Plasma1SWATH20-50,184.019177,1,184.019177,1,precursor,#N/A,#N/A,#N/A,#N/A
Acephate,molecules1,PestMix1_8Step8Plasma2SWATH20-50,184.019177,1,184.019177,1,precursor,#N/A,#N/A,#N/A,#N/A
Acephate,molecules1,PestMix1_8Step8Plasma3SWATH20-50,184.019177,1,184.019177,1,precursor,#N/A,#N/A,#N/A,#N/A
